precision,recall,thresholds
0.0017204452090867595,1.0,0.0510958768427372
0.001736141867592609,1.0,0.051349956542253494
0.0017391304347826088,1.0,0.05149828642606735
0.0017439894648799672,1.0,0.05169641599059105
0.00174426883098391,1.0,0.051752008497714996
0.0017448899651022007,1.0,0.05175425484776497
0.001745573723771864,1.0,0.05175909772515297
0.0017463513730242174,1.0,0.051769353449344635
0.001749593844286148,1.0,0.051805246621370316
0.0017514386817743146,1.0,0.05181318521499634
0.001766465986517178,1.0,0.05183202773332596
0.001766688900506571,1.0,0.05195331200957298
0.0017668163051904736,1.0,0.05200916901230812
0.0017668481592326831,1.0,0.05201629549264908
0.00176697558688832,1.0,0.05202997103333473
0.0017674217284663109,1.0,0.0520414337515831
0.0017686657402227076,1.0,0.05206305533647537
0.001768697660987583,1.0,0.05207063630223274
0.0017709029798153202,1.0,0.05208956077694893
0.0017709989880005782,1.0,0.05210328847169876
0.0017710309930423782,1.0,0.05212623253464699
0.0017789718268951496,1.0,0.05213067680597305
0.0017795856107792043,1.0,0.05214103311300278
0.0017864955519906664,1.0,0.052159298211336136
0.0017866258295048494,1.0,0.05216643959283829
0.0017867561260210035,1.0,0.052176084369421005
0.0017875709100195173,1.0,0.05217676982283592
0.0017881906430187579,1.0,0.05222093313932419
0.0017890393953777063,1.0,0.05223990976810455
0.0017892353757394289,1.0,0.05224446579813957
0.0017897908866770158,1.0,0.05227677524089813
0.0017959572635475654,1.0,0.05228843539953232
0.0017961876832844575,1.0,0.05228991433978081
0.0017963193782535376,1.0,0.05229995399713516
0.0017967804627626416,1.0,0.05232168361544609
0.0017968134064281916,1.0,0.05234246701002121
0.0017973406694176983,1.0,0.05235978588461876
0.001798957339011675,1.0,0.0523621030151844
0.0017989903625516292,1.0,0.05236855894327164
0.0017995849936647264,1.0,0.0523773655295372
0.0017996841370698203,1.0,0.052385151386260986
0.0018006100025723,1.0,0.052389614284038544
0.0018006761722769366,1.0,0.052400022745132446
0.0018015037041122079,1.0,0.05240354686975479
0.0018016361797959372,1.0,0.05241837352514267
0.0018017024249443862,1.0,0.052421685308218
0.0018032937712761064,1.0,0.052423276007175446
0.001803326954217577,1.0,0.05242554843425751
0.001803360138380288,1.0,0.05243365094065666
0.0018036588508116465,1.0,0.05243523791432381
0.0018039244560615543,1.0,0.05243932455778122
0.0018048546907805075,1.0,0.05244075506925583
0.0018051206483698655,1.0,0.05245087668299675
0.0018114937429527349,1.0,0.05246998369693756
0.0018116276920232923,1.0,0.052472662180662155
