iter	F1	Logloss
0	0.9289520468	0.4722700073
1	0.936457831	0.3487236335
2	0.9456808446	0.2619623169
3	0.9530911324	0.2158228977
4	0.9585932904	0.1794833792
5	0.9539051154	0.1565371196
6	0.9573365731	0.1445404068
7	0.9592484328	0.1354008528
8	0.9575640548	0.1259918754
9	0.9611738792	0.1155538408
10	0.9631075446	0.1096640831
11	0.968382472	0.1015571009
12	0.9700802062	0.09608186133
13	0.9702920353	0.09046697039
14	0.9687490979	0.08764919009
15	0.9704958044	0.08518064547
16	0.9756005388	0.0808941734
17	0.9741009701	0.07944081511
18	0.9741336062	0.07706722336
19	0.9758969961	0.07433181629
20	0.9758752317	0.07362805163
21	0.9776877759	0.07115728895
22	0.979530511	0.06641985631
23	0.9796993625	0.06258941312
24	0.9798301262	0.06050582869
25	0.9816487698	0.05841943688
26	0.9835386241	0.05509299993
27	0.983576809	0.0532121956
28	0.983601358	0.05252249467
29	0.9837241214	0.05183074712
30	0.9837404921	0.05071928993
31	0.983775964	0.04970454293
32	0.9854507167	0.04828569834
33	0.9871312042	0.04643356793
34	0.9873250414	0.04393935769
35	0.9889567085	0.04258846096
36	0.9890058659	0.04153775369
37	0.9890577596	0.04092937053
38	0.9891178539	0.03950728995
39	0.9908564092	0.03770223416
40	0.9909110626	0.03698631577
41	0.9909903207	0.03524959091
42	0.9910367883	0.03479740881
43	0.9910832602	0.0342111981
44	0.992770314	0.03301065461
45	0.9944495514	0.03175720474
46	0.9944769	0.03049202974
47	0.9961401409	0.02853969332
48	0.9962386233	0.02730021877
49	0.9962413593	0.0268527326
50	0.996263247	0.02654712661
51	0.9962933442	0.02593278311
52	0.9963371253	0.02518741662
53	0.9963945937	0.0246378841
54	0.9964246989	0.02409693179
55	0.99804462	0.02276242667
56	0.9980884156	0.02224542287
57	0.9982170875	0.02140171615
58	0.9982362542	0.02078749319
59	0.998282805	0.02022470193
60	0.9983129285	0.01986868487
61	0.9984580942	0.01910117673
62	0.9985731612	0.0186288018
63	0.9986033022	0.01834286493
64	0.9986635896	0.01793089971
65	0.9986581086	0.01736586495
66	0.9986882547	0.01702887543
67	0.9987649984	0.01612412011
68	0.9988198226	0.01563949635
69	0.998836271	0.01526703277
70	0.9988938448	0.01487160514
71	0.9988965866	0.0145593517
72	0.9989267471	0.01425737683
73	0.9989569094	0.0136168748
74	0.9990720914	0.0128884906
75	0.999091291	0.01259455214
76	0.9991077483	0.01229235492
77	0.9991242062	0.01194318354
78	0.9991872999	0.01162168287
79	0.9991818132	0.01128078765
80	0.9992915591	0.01084392362
81	0.9993162553	0.01047393726
82	0.9993162553	0.01004615906
83	0.9993491854	0.009725327417
84	0.9993848621	0.009477964652
85	0.9994150521	0.009306857389
86	0.9994150521	0.009178422133
87	0.9994287755	0.008899108603
88	0.9994479887	0.008727814494
89	0.9994726926	0.008518851043
90	0.9994836725	0.008279976738
91	0.9994781825	0.008123241928
92	0.9994946527	0.007828079924
93	0.9995083782	0.007678691064
94	0.9995111233	0.007550711875
95	0.9995358303	0.007429491308
96	0.9995577932	0.007018062516
97	0.9995770114	0.006916409273
98	0.9995962304	0.006708386083
99	0.9996127044	0.006420373137
100	0.9996209416	0.006224207002
101	0.9996346706	0.005958692661
102	0.9996566377	0.005785965391
103	0.9996703677	0.005554628235
104	0.999681352	0.005389723408
105	0.999700575	0.00519597322
106	0.9997088136	0.005062778065
107	0.9997143061	0.004951783163
108	0.9997252913	0.004896328908
109	0.9997417696	0.004821445622
110	0.9997390232	0.004665268003
111	0.9997527554	0.00463275536
112	0.9997555019	0.004536752049
113	0.999766488	0.004489474843
114	0.9997774744	0.004348108331
115	0.9997692346	0.00424156761
116	0.999780221	0.004149472005
117	0.9997857143	0.003959759109
118	0.999788461	0.003812998491
119	0.999788461	0.003734544024
120	0.9997912076	0.003686716659
121	0.9997857143	0.003605623906
122	0.9997857143	0.003571332201
123	0.9997912076	0.003503576209
124	0.9997994478	0.003454507887
125	0.9998076881	0.003388135831
126	0.9998104349	0.003260441935
127	0.9998159285	0.003187702027
128	0.9998186753	0.003162605987
129	0.9998186753	0.003067219136
130	0.9998269159	0.003022102051
131	0.9998269159	0.002964000802
132	0.9998324098	0.002919531652
133	0.9998324098	0.00289056608
134	0.9998379036	0.00284937679
135	0.9998406506	0.002829643046
136	0.9998406506	0.002763852458
137	0.9998516386	0.002652572766
138	0.9998516386	0.002624281415
139	0.9998571327	0.002568710464
140	0.9998598797	0.002532365289
141	0.9998626268	0.002479541954
142	0.9998736153	0.002377550177
143	0.9998736153	0.002328840815
144	0.9998736153	0.00231498872
145	0.9998763624	0.002272862351
146	0.9998791096	0.002228430872
147	0.9998736153	0.002217049806
148	0.9998708681	0.002166284462
149	0.9998708681	0.002143040145
150	0.9998708681	0.002126496187
151	0.9998708681	0.00210083291
152	0.9998763624	0.002082852443
153	0.9998791096	0.002054589555
154	0.9998791096	0.00199259433
155	0.9998818568	0.0019692514
156	0.9998818568	0.001912684604
157	0.999884604	0.001877491649
158	0.9998873512	0.001860236301
159	0.9998873512	0.001825419384
160	0.9998955929	0.001808407807
161	0.9998955929	0.001778439525
162	0.9998955929	0.001762464645
163	0.9998955929	0.001755197887
164	0.9998983402	0.001740496611
165	0.9999038348	0.001703674441
166	0.9999065821	0.001678842933
167	0.9999065821	0.001658694979
168	0.9999038348	0.001619448827
169	0.9999038348	0.001605454253
170	0.9999038348	0.001583849867
171	0.9999065821	0.001567277781
172	0.9999120768	0.001542100707
173	0.9999120768	0.001512054907
174	0.9999120768	0.0014959342
175	0.9999120768	0.001458787728
176	0.9999120768	0.001426269559
177	0.9999120768	0.001406443229
178	0.9999120768	0.001382164643
179	0.9999148242	0.001355350317
180	0.9999148242	0.00133805621
181	0.9999175715	0.00132292214
182	0.9999175715	0.001309762516
183	0.9999175715	0.001292859765
184	0.9999175715	0.001284744663
185	0.9999175715	0.001272756429
186	0.9999175715	0.001258721673
187	0.9999175715	0.001244310796
188	0.9999175715	0.001237840815
189	0.9999175715	0.001211334217
190	0.9999175715	0.001208229316
191	0.9999175715	0.001193683829
192	0.9999175715	0.001188614025
193	0.9999175715	0.001175381153
194	0.9999175715	0.001171176686
195	0.9999175715	0.001157635751
196	0.9999175715	0.001138710168
197	0.9999175715	0.001128930441
198	0.9999175715	0.001110772754
199	0.9999175715	0.001102386005
200	0.9999175715	0.001085045689
201	0.9999175715	0.001075797453
202	0.9999175715	0.001070860752
203	0.9999175715	0.001047734386
204	0.9999175715	0.00103971321
205	0.9999175715	0.001036201801
206	0.9999175715	0.001027521053
207	0.9999203189	0.001017007333
208	0.9999230664	0.0009955254183
209	0.9999230664	0.0009789691542
210	0.9999258138	0.0009645292289
211	0.9999230664	0.0009517700857
212	0.9999230664	0.000942995496
213	0.9999230664	0.0009357839046
214	0.9999285612	0.0009189605135
215	0.9999285612	0.0009040358085
