depth,recall,precison,f1_val,f1_train,learning_rate,l2_leaf_reg,border_count,subsample,grow_policy,loss,cum_loss,precision
7.0,0.8181818181818182,0.7974683544303798,0.8076923076923078,0.9,0.011944610797129678,11.070981566038379,70.0,0.22603939467256068,2,0.2135741002980589,0.2135741002980589,0.7974683544303798
9.0,0.20170454545454544,0.8987341772151899,0.32946635730858465,0.3114035087719298,0.0006648271040234697,46.248098195977214,44.0,0.02601864360005976,2,1.1102810325024872,0.2135741002980589,0.8987341772151899
3.0,0.6194690265486725,0.8860759493670886,0.7291666666666666,0.8108108108108109,0.2608634074686039,20.341139661460723,44.0,0.005587174203636834,0,0.3158529494184773,0.2135741002980589,0.8860759493670886
7.0,0.75,0.8354430379746836,0.7904191616766467,0.8936170212765957,0.027301914065635965,41.36869547261179,92.0,0.008193982700404728,0,0.23519188983038425,0.2135741002980589,0.8354430379746836
12.0,0.8947368421052632,0.8607594936708861,0.8774193548387097,0.9487951807228916,0.11630504760145194,16.150656618664154,26.0,0.0035899131865530093,0,0.13077023118319459,0.13077023118319459,0.8607594936708861
8.0,0.7319587628865979,0.8987341772151899,0.8068181818181818,0.8300395256916996,0.05383042171854754,24.06676452393089,16.0,0.013184326165876488,2,0.21465693743689113,0.13077023118319459,0.8987341772151899
12.0,0.5,0.8354430379746836,0.6255924170616114,0.6585365853658536,0.08945831486023426,48.81581516677762,24.0,0.008643005321203028,1,0.4690562108896956,0.13077023118319459,0.8354430379746836
12.0,0.7906976744186046,0.8607594936708861,0.8242424242424243,0.8583106267029973,0.015550033300324515,24.070696468927384,72.0,0.004250971638763471,0,0.1932905881645285,0.13077023118319459,0.8607594936708861
8.0,0.92,0.8734177215189873,0.896103896103896,0.9531013615733737,0.34215718235527925,49.219772135884135,88.0,0.014371933619121861,0,0.10969891725642462,0.10969891725642462,0.8734177215189873
6.0,0.8271604938271605,0.8481012658227848,0.8374999999999999,0.967741935483871,0.0943922599604609,19.116660186104667,72.0,0.05230338567742149,2,0.17733401528291565,0.10969891725642462,0.8481012658227848
5.0,0.8,0.8607594936708861,0.829268292682927,0.8873239436619719,0.2047949620077988,36.86904457449268,30.0,0.0557238581054698,2,0.1872115420881462,0.10969891725642462,0.8607594936708861
6.0,0.422360248447205,0.8607594936708861,0.5666666666666667,0.5771670190274841,0.0008679641271888355,49.80127861166237,34.0,0.004203269605242647,2,0.5679840376059393,0.10969891725642462,0.8607594936708861
8.0,0.7954545454545454,0.8860759493670886,0.8383233532934132,0.9012875536480687,0.008066901759912435,7.835522394146166,90.0,0.2696086379828844,0,0.17635138980745074,0.10969891725642462,0.8860759493670886
3.0,0.35135135135135137,0.8227848101265823,0.49242424242424243,0.47528187337380745,0.0004479642076608959,33.29579421189317,62.0,0.005170485034177192,2,0.7084146526907338,0.10969891725642462,0.8227848101265823
6.0,0.4049079754601227,0.8354430379746836,0.5454545454545455,0.5984598459845984,0.009030681881209422,4.580146320833784,42.0,0.005506390025302713,1,0.6061358035703154,0.10969891725642462,0.8354430379746836
9.0,0.33490566037735847,0.8987341772151899,0.4879725085910653,0.5060435132957293,0.003070917379152065,14.493383573838065,84.0,0.23081098619778287,0,0.7174962095702319,0.10969891725642462,0.8987341772151899
8.0,0.825,0.8354430379746836,0.8301886792452831,0.9375,0.06685853919454798,28.389711713890094,56.0,0.034616855622345025,1,0.1861022796338606,0.10969891725642462,0.8354430379746836
5.0,0.29914529914529914,0.8860759493670886,0.4472843450479233,0.4486251808972504,0.002631859300326195,10.291821923975187,74.0,0.11036579792146547,1,0.804560767930849,0.10969891725642462,0.8860759493670886
10.0,0.3641304347826087,0.8481012658227848,0.5095057034220533,0.4932003626473255,0.25466901632544636,48.03512892186219,46.0,0.007216074869337338,1,0.6743142322268532,0.10969891725642462,0.8481012658227848
11.0,0.9558823529411765,0.8227848101265823,0.8843537414965986,1.0,0.04098204641361173,3.4143832040626156,64.0,0.36253546687056937,1,0.1228981363231539,0.10969891725642462,0.8227848101265823
11.0,0.2132132132132132,0.8987341772151899,0.34466019417475724,0.3417023882424985,0.033479870105345644,3.2238811241326237,100.0,0.01484366942673211,1,1.0651962917482658,0.10969891725642462,0.8987341772151899
10.0,0.7391304347826086,0.8607594936708861,0.7953216374269007,0.881118881118881,0.003778422898365798,0.6318360537870049,82.0,0.12609874036972377,1,0.22900867076660775,0.10969891725642462,0.8607594936708861
11.0,0.8607594936708861,0.8607594936708861,0.8607594936708861,0.9722222222222222,0.16479220161315647,30.060046064803416,100.0,0.018787978264682984,0,0.14994014729091476,0.10969891725642462,0.8607594936708861
10.0,0.918918918918919,0.8607594936708861,0.8888888888888888,0.9692307692307692,0.03481157835346524,41.20100321541203,62.0,0.09367130588231044,1,0.11778303565638351,0.10969891725642462,0.8607594936708861
9.0,0.813953488372093,0.8860759493670886,0.8484848484848485,0.9843749999999999,0.33470946464095164,42.38190005551104,54.0,0.10413318540168207,0,0.1643030512912763,0.10969891725642462,0.8860759493670886
10.0,0.8024691358024691,0.8227848101265823,0.8125000000000001,0.9012875536480687,0.01915958883375854,42.031431627437314,84.0,0.06556370099241704,0,0.20763936477824438,0.10969891725642462,0.8227848101265823
9.0,0.40718562874251496,0.8607594936708861,0.5528455284552846,0.5474747474747474,0.00499254884386848,37.71019530160872,54.0,0.002510170447267136,1,0.5926766501963108,0.10969891725642462,0.8607594936708861
10.0,0.1437125748502994,0.9113924050632911,0.24827586206896549,0.2443559096945551,0.0014240381129633696,45.08387683049044,78.0,0.030049734385682356,1,1.3932148039644645,0.10969891725642462,0.9113924050632911
